company,title,location,javascript,html,css,python,sql,java,c#,bash,c++,php,kotlin,rust,ruby,dart,swift,golang
Capital One,Sr. Cloud Software Engineer (Remote-Eligible),NY,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Indeed,Quality Assurance Automation Engineer,WA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Venturi Group,Lead Back-End Engineer,Remote,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Liberty Mutual Insurance,Software Engineer - Remote,Remote,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Reaktor,Remote Senior Full Stack Software Engineer,NY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H&R Block,Assoc Software Engineer-S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mutual of Omaha,Backend Engineer (AWS / TypeScript / Node)-Remote,Remote,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Engtal,Senior Software Engineer - cloud,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uber,Backend Software Engineer - Marketplace Pricing & Incentives,NY,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
The Pok�mon Company International,"Software Development Engineer in Test (SDET) [Multiple Openings: Level 2, 3 & Senior] (Hybrid)",WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosairus LLC,Software Development QA Tester,GA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Oculus,RL Research Software Engineer - Full Stack,WA,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Uber,Android Engineer - Marketplace Pricing & Incentives,CA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cook Systems,Software Development Engineer (100% remote),Remote,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Meta,"Software Engineer, Language",NY,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Zillow,Backend Software Engineer,WA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Zillow,Full Stack Software Engineer,WA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
